pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,effective_temperature,radius
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,14.2,,,0.0,1.27,,,0.0,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,0,G1 V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,777254360337133312,164.8647031186751,40.43050097561348,72.00696109116399,-316.8498990963689,55.18040036976814,4.866588,5763.587,1.2709
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,13.5,,,0.0,1.2,,,0.0,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,0,G0V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,777254360337133312,164.8647031186751,40.43050097561348,72.00696109116399,-316.8498990963689,55.18040036976814,4.866588,5763.587,1.2709
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,11688.0,6209.25,-3287.25,0.0,13.2,0.2,-0.2,0.0,13.4,,,0.0,1.19,,,0.0,635.66,,,0.0,2.0,,,0.0,Mass,0.45,0.1,-0.15,0.0,,,,,700.0,,,0.0,0,F0 IV,7295.0,120.09,-98.99,0.0,1.49,0.05,-0.06,0.0,1.75,0.05,-0.05,0.0,-0.027,0.045,-0.045,0.0,[M/H],4.31,0.09,-0.07,0.0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,0.1213,-0.1203,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075,3205095125321700480,69.40074849308137,-2.473833383625505,33.4390324822182,44.04884090373149,-64.02842203088811,5.1411705,7250.282,1.5529
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,14.3,,,0.0,1.27,,,0.0,146.2018,19.0698,-3.1783,0.0,0.46,0.06,-0.01,0.0,Mass,0.013,0.012,-0.012,0.0,,,,,,,,,0,G5V,5758.0,101.62,-119.62,0.0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,[M/H],4.31,0.08,-0.06,0.0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,2835207319109249920,344.3675708158258,20.769104345387102,64.40477219179482,207.32768225871277,61.16421533774069,5.283212,5662.524,1.2148
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,14.6516,0.0001,-0.0001,0.0,0.1134,0.0006,-0.0006,0.0,13.9,,,0.0,1.24,,,0.0,263.9785,1.0488,-1.0488,0.0,0.8306,0.0033,-0.0033,0.0,Mass,0.0,0.01,-0.01,0.0,,,,,700.0,,,0.0,0,K0 IV-V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,704967037090946688,133.146760620834,28.329783000362703,79.44818375718161,-485.6808133468651,-233.5170052934288,5.732681,5184.4775,0.974
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.3989,0.0042,-0.0043,0.0,0.2373,0.0013,-0.0013,0.0,8.51,,,0.0,0.76,,,0.0,54.4738,1.748,-1.748,0.0,0.1714,0.0055,-0.0055,0.0,Mass,0.03,0.02,-0.02,0.0,,,,,,,,,0,G8V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,704967037090946688,133.146760620834,28.329783000362703,79.44818375718161,-485.6808133468651,-233.5170052934288,5.732681,5184.4775,0.974
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,5574.2,93.8,-88.6,0.0,5.957,0.074,-0.071,0.0,13.0,,,0.0,1.16,,,0.0,1232.493,21.612,-21.612,0.0,3.878,0.068,-0.068,0.0,Mass,0.13,0.02,-0.02,0.0,,,,,,,,,0,G8 V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,704967037090946688,133.146760620834,28.329783000362703,79.44818375718161,-485.6808133468651,-233.5170052934288,5.732681,5184.4775,0.974
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,0.167,0.003,-0.003,0.0,7.99,0.32,-0.33,0.0,0.02514,0.00101,-0.00104,0.0,Mass,0.05,0.03,-0.03,0.0,2657.83,,,0.0,1958.0,15.0,-15.0,0.0,0,G8 V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,704967037090946688,133.146760620834,28.329783000362703,79.44818375718161,-485.6808133468651,-233.5170052934288,5.732681,5184.4775,0.974
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,7.59,,,0.0,0.677,,,0.0,44.812,3.814,-3.814,0.0,0.141,0.012,-0.012,0.0,Mass,0.08,0.05,-0.04,0.0,,,,,,,,,0,G8V,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,704967037090946688,133.146760620834,28.329783000362703,79.44818375718161,-485.6808133468651,-233.5170052934288,5.732681,5184.4775,0.974
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,919.86,1.92,-3.71,0.0,2.028,0.003,-0.005,0.0,13.4,,,0.0,1.2,,,0.0,597.83523,12.07748,-28.28673,0.0,1.881,0.038,-0.089,0.0,Msini,0.042,0.024,-0.032,0.0,,,,,,,,,0,K0 IV,4941.0,,,0.0,4.94,0.55,-0.5,0.0,1.32,0.2,-0.21,0.0,-0.17,0.11,-0.07,0.0,[Fe/H],3.16,0.08,-0.08,0.0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,0.2734,-0.2734,5.87307,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085,1004358968092652544,97.69602304387136,58.16112834050636,18.218259854179408,-30.69060465334944,-338.61232485343965,5.609718,4877.7285,5.3019
