pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,effective_temperature,radius
HD 149143 b,HD 149143,1,1,Radial Velocity,2005,Haute-Provence Observatory,0,4.07182,1e-05,-1e-05,0.0,0.053,0.0029,-0.0029,0.0,13.6,,,0.0,1.22,,,0.0,422.7139,47.6745,-47.6745,0.0,1.33,0.15,-0.15,0.0,Msini,0.0167,0.004,-0.004,0.0,,,,,,,,,0,G0,5856.0,,,0.0,1.44,0.08,-0.08,0.0,1.2,0.2,-0.2,0.0,0.29,,,0.0,[Fe/H],4.25,0.05,-0.05,0.0,16h32m51.04s,248.2126715,+02d05m04.04s,2.0844547,73.2801,0.3623,-0.3588,7.89,0.03,-0.03,6.434,0.026,-0.026,7.74081,0.00029,-0.00029,4432401099808805888,248.21267022741392,2.0844426270342598,13.627924263049934,-9.240377434242456,-86.67828307718123,7.752188,5744.5547,1.7765
HD 149806 b,HD 149806,1,1,Radial Velocity,2022,Multiple Observatories,0,16521.52778,6426.22918,-3696.60573,0.0,12.404,3.103,-2.056,0.0,12.3,,,0.0,1.1,,,0.0,4003.68444,856.22973,-884.19863,0.0,12.597,2.694,-2.782,0.0,Mass,0.357,0.162,-0.236,0.0,,,,,,,,,0,K0V,5352.05,142.65,-116.63,0.0,0.89,0.03,-0.03,0.0,0.93,0.12,-0.12,0.0,0.221,0.026,-0.026,0.0,[M/H],4.51,0.05,-0.03,0.0,16h37m08.52s,249.2855187,+00d15m16.85s,0.2546794,20.2727,0.0179,-0.0179,7.08308,0.023,-0.023,5.183,0.024,-0.024,6.86807,0.000168,-0.000168,4383374219923745024,249.2855316509469,0.2546902697359427,49.20360401812414,93.3850644678558,78.71680964077117,6.884097,5251.2363,0.9228
HD 150010 b,HD 150010,1,1,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,0,562.0,8.0,-8.0,0.0,1.4,0.1,-0.1,0.0,13.3,,,0.0,1.18,,,0.0,762.78818,127.13136,-127.13136,0.0,2.4,0.4,-0.4,0.0,Msini,0.2,0.1,-0.1,0.0,,,,,,,,,0,K2 III,4153.0,83.0,-83.0,0.0,16.2,0.4,-0.4,0.0,1.3,0.1,-0.1,0.0,-0.25,0.22,-0.22,0.0,[Fe/H],2.1,0.1,-0.1,0.0,16h31m28.10s,247.8670682,+72d36m45.29s,72.6125804,144.49,0.673,-0.673,6.2893,0.023,-0.023,3.177,0.384,-0.384,5.86642,0.0010594,-0.0010594,1654516686269888896,247.8670509286032,72.61258818164013,7.065103816524887,-37.655462796873735,55.91995856938604,5.8726783,4640.8306,17.0163
HD 1502 b,HD 1502,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,428.5,1.2,-1.2,0.0,1.262,0.092,-0.092,0.0,13.2,,,0.0,1.18,,,0.0,874.0325,50.8528,-50.8528,0.0,2.75,0.16,-0.16,0.0,Msini,0.031,0.022,-0.022,0.0,,,,,,,,,0,K0,4947.0,,,0.0,4.67,,,0.0,1.46,,,0.0,0.09,0.03,-0.03,0.0,[Fe/H],3.18,,,0.0,00h19m17.15s,4.8214389,+14d03m16.86s,14.054683,190.953,2.7675,-2.7675,8.36,0.03,-0.03,6.12,0.026,-0.026,8.10417,0.000361,-0.000361,2768172019308167296,4.821449515747088,14.054680583980472,5.201773564189012,74.47200289726968,-17.069432972587904,8.115517,5042.897,5.6004
HD 150706 b,HD 150706,1,1,Radial Velocity,2012,Haute-Provence Observatory,0,5894.0,5584.0,-1498.0,0.0,6.7,4.0,-1.4,0.0,13.3,,,0.0,1.18,,,0.0,772.32303,152.55764,-120.77479,0.0,2.43,0.48,-0.38,0.0,Mass,0.38,0.28,-0.32,0.0,,,,,,,,,0,G0 V,5961.0,27.0,-27.0,0.0,0.96,0.02,-0.02,0.0,1.17,0.12,-0.12,0.0,-0.01,0.04,-0.04,0.0,[Fe/H],4.5,0.1,-0.1,0.0,16h31m18.14s,247.8255687,+79d47m21.85s,79.7894032,28.2697,0.0229,-0.0228,7.03,0.02,-0.02,5.565,0.016,-0.016,6.85038,0.000452,-0.000452,1709456705329541504,247.8256432766155,79.78939109694281,35.48267784744393,94.94688708822142,-86.85323221781474,6.8698573,5800.2227,1.0153
HD 151450 b,HD 151450,1,2,Radial Velocity,2022,Multiple Observatories,0,21.89288,0.00846,-0.00539,0.0,0.16,0.007,-0.008,0.0,6.94,,,0.0,0.619,,,0.0,38.45724,6.03874,-7.94571,0.0,0.121,0.019,-0.025,0.0,Msini,0.496,0.117,-0.104,0.0,,,,,,,,,0,,6091.98,129.58,-85.79,0.0,1.17,0.05,-0.04,0.0,1.14,0.16,-0.16,0.0,,,,,,4.36,0.07,-0.08,0.0,16h48m01.92s,252.0080127,-15d57m51.64s,-15.964345,43.6002,0.1302,-0.1295,7.43,0.03,-0.03,6.099,0.024,-0.024,7.28278,0.000214,-0.000214,4134094524223600640,252.0080237727089,-15.964357818725505,22.854139364002325,76.79289924883804,-91.82247620251304,7.298229,5976.082,1.221
HD 151450 c,HD 151450,1,2,Radial Velocity,2022,Multiple Observatories,0,18144.76236,5356.32955,-4350.39093,0.0,14.131,2.742,-2.52,0.0,12.8,,,0.0,1.15,,,0.0,1636.18064,375.03752,-336.26245,0.0,5.148,1.18,-1.058,0.0,Mass,0.138,0.108,-0.08,0.0,,,,,,,,,0,,6091.98,129.58,-85.79,0.0,1.17,0.05,-0.04,0.0,1.14,0.16,-0.16,0.0,,,,,,4.36,0.07,-0.08,0.0,16h48m01.92s,252.0080127,-15d57m51.64s,-15.964345,43.6002,0.1302,-0.1295,7.43,0.03,-0.03,6.099,0.024,-0.024,7.28278,0.000214,-0.000214,4134094524223600640,252.0080237727089,-15.964357818725505,22.854139364002325,76.79289924883804,-91.82247620251304,7.298229,5976.082,1.221
HD 152079 b,HD 152079,1,1,Radial Velocity,2009,Las Campanas Observatory,0,2918.92,37.87,-39.28,0.0,4.187,0.051,-0.053,0.0,13.2,,,0.0,1.18,,,0.0,845.74563,14.62018,-14.62018,0.0,2.661,0.046,-0.046,0.0,Msini,0.532,0.015,-0.016,0.0,,,,,,,,,0,G6 V,5907.0,52.0,-52.0,0.0,1.13,0.07,-0.07,0.0,1.15,0.03,-0.03,0.0,0.29,0.07,-0.07,0.0,[Fe/H],4.37,0.05,-0.05,0.0,16h53m29.58s,253.3732313,-46d20m00.09s,-46.3333582,87.8888,0.3583,-0.3554,9.18,0.03,-0.03,7.634,0.021,-0.021,9.01051,0.000311,-0.000311,5939949051801737472,253.373209716862,-46.333371183058574,11.35453715966533,-107.35763329593613,-93.59684737987088,9.018172,5698.3325,1.2167
HD 152843 b,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,11.6264,0.0022,-0.0025,0.0,0.1053,0.003,-0.0031,0.0,3.41,0.14,-0.12,0.0,0.304,0.012,-0.011,0.0,11.56,6.58,-6.14,0.0,0.03637,0.0207,-0.01932,0.0,Mass,0.14,0.25,-0.1,0.0,255.7,21.6,-19.7,0.0,1003.0,,,0.0,0,G0,6310.0,100.0,-100.0,0.0,1.43,0.02,-0.02,0.0,1.15,0.04,-0.04,0.0,-0.16,0.05,-0.05,0.0,[Fe/H],4.19,0.03,-0.03,0.0,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,8.855,0.002,-0.002,7.629,0.02,-0.02,8.76412,0.000237,-0.000237,4564566554995619072,253.7848875053389,20.49153018424032,9.160658214411496,14.837821949620198,44.635449517068174,8.77275,6115.222,1.4789
HD 152843 c,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,24.38,6.23,-3.4,0.0,,,,,5.83,0.14,-0.14,0.0,0.52,0.012,-0.012,0.0,27.5,,,1.0,0.08652,,,1.0,Mass,0.115,0.173,-0.08,0.0,0.97,,,0.0,253.0,,,0.0,0,G0,6310.0,100.0,-100.0,0.0,1.43,0.02,-0.02,0.0,1.15,0.04,-0.04,0.0,-0.16,0.05,-0.05,0.0,[Fe/H],4.19,0.03,-0.03,0.0,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,8.855,0.002,-0.002,7.629,0.02,-0.02,8.76412,0.000237,-0.000237,4564566554995619072,253.7848875053389,20.49153018424032,9.160658214411496,14.837821949620198,44.635449517068174,8.77275,6115.222,1.4789
HD 15337 b,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.75615,0.00017,-0.00017,0.0,0.0522,0.0012,-0.0012,0.0,1.64,0.06,-0.06,0.0,0.146,0.005,-0.005,0.0,7.51,1.09,-1.01,0.0,0.02363,0.00343,-0.00318,0.0,Mass,0.09,0.05,-0.05,0.0,161.73,,,0.0,1001.0,12.0,-12.0,0.0,0,K1 V,5125.0,50.0,-50.0,0.0,0.86,0.02,-0.02,0.0,0.9,0.03,-0.03,0.0,0.15,0.1,-0.1,0.0,[Fe/H],4.53,0.02,-0.02,0.0,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.8155,0.0707,-0.0704,9.1,0.03,-0.03,7.044,0.018,-0.018,8.85598,0.000178,-0.000178,5068777809824976256,36.86787306156828,-27.63614658898736,22.292169897307627,-73.58053456241788,-211.9354677035051,8.86499,5063.1753,0.8757
HD 15337 c,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,17.1784,0.0016,-0.0016,0.0,0.1268,0.0038,-0.0038,0.0,2.39,0.12,-0.12,0.0,0.213,0.011,-0.011,0.0,8.11,1.82,-1.69,0.0,0.02552,0.00573,-0.00532,0.0,Mass,0.05,0.06,-0.04,0.0,29.18,,,0.0,642.0,10.0,-10.0,0.0,0,K1 V,5125.0,50.0,-50.0,0.0,0.86,0.02,-0.02,0.0,0.9,0.03,-0.03,0.0,0.15,0.1,-0.1,0.0,[Fe/H],4.53,0.02,-0.02,0.0,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.8155,0.0707,-0.0704,9.1,0.03,-0.03,7.044,0.018,-0.018,8.85598,0.000178,-0.000178,5068777809824976256,36.86787306156828,-27.63614658898736,22.292169897307627,-73.58053456241788,-211.9354677035051,8.86499,5063.1753,0.8757
HD 153557 b,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,0,7.29903,0.00033,-0.00031,0.0,0.068,0.003,-0.003,0.0,4.77,,,0.0,0.425,,,0.0,20.34102,1.90697,-2.2248,0.0,0.064,0.006,-0.007,0.0,Msini,0.065,0.053,-0.037,0.0,,,,,,,,,0,K0,4837.0,96.07,-159.51,0.0,0.75,0.06,-0.04,0.0,0.79,0.09,-0.09,0.0,,,,,,4.59,0.09,-0.1,0.0,16h57m52.96s,254.4706516,+47d22m04.28s,47.3678558,17.9412,0.0084,-0.0084,7.83,0.001,-0.001,5.458,0.017,-0.017,7.50548,0.000347,-0.000347,1408029509584967168,254.4706217667203,47.36789357483239,55.75075260059889,-145.6694269361234,272.1730647940249,7.5214434,4736.827,0.7729
HD 153557 c,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,0,15.27018,0.0014,-0.00117,0.0,0.111,0.004,-0.004,0.0,4.36,,,0.0,0.389,,,0.0,17.48056,1.58914,-1.90697,0.0,0.055,0.005,-0.006,0.0,Msini,0.511,0.037,-0.029,0.0,,,,,,,,,0,K0,4837.0,96.07,-159.51,0.0,0.75,0.06,-0.04,0.0,0.79,0.09,-0.09,0.0,,,,,,4.59,0.09,-0.1,0.0,16h57m52.96s,254.4706516,+47d22m04.28s,47.3678558,17.9412,0.0084,-0.0084,7.83,0.001,-0.001,5.458,0.017,-0.017,7.50548,0.000347,-0.000347,1408029509584967168,254.4706217667203,47.36789357483239,55.75075260059889,-145.6694269361234,272.1730647940249,7.5214434,4736.827,0.7729
HD 153557 d,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,0,40654.64809,3874.17546,-4234.02733,0.0,21.449,1.487,-1.746,0.0,11.9,,,0.0,1.06,,,0.0,8725.66109,1130.19782,-1111.12811,0.0,27.454,3.556,-3.496,0.0,Mass,0.152,0.06,-0.047,0.0,,,,,,,,,0,K0,4837.0,96.07,-159.51,0.0,0.75,0.06,-0.04,0.0,0.79,0.09,-0.09,0.0,,,,,,4.59,0.09,-0.1,0.0,16h57m52.96s,254.4706516,+47d22m04.28s,47.3678558,17.9412,0.0084,-0.0084,7.83,0.001,-0.001,5.458,0.017,-0.017,7.50548,0.000347,-0.000347,1408029509584967168,254.4706217667203,47.36789357483239,55.75075260059889,-145.6694269361234,272.1730647940249,7.5214434,4736.827,0.7729
HD 153950 b,HD 153950,1,1,Radial Velocity,2008,La Silla Observatory,0,499.39999,3.6,-3.6,0.0,1.28,0.02,-0.02,0.0,13.2,,,0.0,1.17,,,0.0,937.5985,92.1707,-92.1707,0.0,2.95,0.29,-0.29,0.0,Msini,0.34,0.02,-0.02,0.0,,,,,,,,,0,F8 V,6124.0,81.0,-81.0,0.0,1.28,0.04,-0.04,0.0,1.25,0.18,-0.18,0.0,-0.01,,,0.0,[Fe/H],4.32,0.06,-0.06,0.0,17h04m31.03s,256.1292826,-43d18m37.35s,-43.3103753,48.4549,0.1168,-0.1163,7.39,0.03,-0.03,6.006,0.017,-0.017,7.23813,0.000201,-0.000201,5965406010180880640,256.12930368436366,-43.31039492338143,20.657994945917284,110.65408444413949,-140.97727622314105,7.253027,5925.999,1.4028
HD 154088 b,HD 154088,1,1,Radial Velocity,2021,La Silla Observatory,0,18.56,0.01,-0.01,0.0,0.134,0.002,-0.002,0.0,2.46,,,0.0,0.219,,,0.0,6.6,0.8,-0.8,0.0,0.02077,0.00252,-0.00252,0.0,Msini,0.344,,,1.0,,,,,,,,,0,K0 IV-V,5374.0,43.0,-43.0,0.0,0.95,0.03,-0.03,0.0,0.91,0.02,-0.02,0.0,0.28,0.03,-0.03,0.0,[Fe/H],4.37,0.07,-0.07,0.0,17h04m27.94s,256.1164214,-28d35m01.80s,-28.5838342,18.2692,0.0158,-0.0157,6.59,0.03,-0.03,4.758,0.021,-0.021,6.36693,0.0003356,-0.0003356,6029992663310612096,256.11643460703914,-28.583871541724104,54.725979187340414,83.30939249428889,-268.6139691613872,6.3801155,5421.711,0.9654
HD 154345 b,HD 154345,1,1,Radial Velocity,2006,W. M. Keck Observatory,0,3341.55884,93.0,-93.0,0.0,4.21,0.1,-0.1,0.0,13.7,,,0.0,1.22,,,0.0,378.2158,44.49598,-34.96112,0.0,1.19,0.14,-0.11,0.0,Mass,0.04,0.05,-0.05,0.0,,,,,,,,,0,G9,5468.0,14.0,-14.0,0.0,0.85,0.01,-0.01,0.0,0.71,0.07,-0.07,0.0,-0.11,,,0.0,[Fe/H],4.43,0.04,-0.04,0.0,17h02m36.59s,255.6524619,+47d05m08.00s,47.0855544,18.284,0.0072,-0.0071,6.76,0.012,-0.012,5.003,0.017,-0.017,6.56771,0.000225,-0.000225,1359938520253565952,255.65248712127016,47.08567289069349,54.73589758953965,123.273728537682,853.6388701963417,6.5836673,5419.562,0.868
HD 154391 b,HD 154391,1,1,Radial Velocity,2023,Multiple Observatories,0,5163.0,60.0,-57.0,0.0,7.46,0.07,-0.07,0.0,12.5,,,0.0,1.12,,,0.0,2892.2385,889.91954,-603.87397,0.0,9.1,2.8,-1.9,0.0,Mass,0.2,0.04,-0.04,0.0,,,,,,,,,0,K1 III,4909.0,32.0,-32.0,0.0,8.56,0.05,-0.05,0.0,2.07,0.03,-0.03,0.0,0.1,0.05,-0.05,0.0,[Fe/H],2.89,0.01,-0.01,0.0,17h01m16.83s,255.3201345,+60d38m56.12s,60.6489226,100.947,0.248,-0.248,6.1552,0.023,-0.023,3.896,0.016,-0.016,5.89921,0.0009369,-0.0009369,1438038102484626048,255.32012205052305,60.64892799386348,9.844326577083288,-44.20161638509526,39.07289647590028,5.90441,4962.0303,8.3657
HD 154672 b,HD 154672,1,1,Radial Velocity,2008,Las Campanas Observatory,0,163.94,0.01,-0.01,0.0,0.6,0.02,-0.02,0.0,12.8,,,0.0,1.14,,,0.0,1706.7471,123.9537,-123.9537,0.0,5.37,0.39,-0.39,0.0,Msini,0.61,0.03,-0.03,0.0,,,,,,,,,0,G3 IV,5743.0,23.0,-23.0,0.0,1.32,0.02,-0.02,0.0,1.18,0.12,-0.12,0.0,0.25,,,0.0,[Fe/H],4.27,0.04,-0.04,0.0,17h10m04.97s,257.520697,-56d26m59.29s,-56.4498041,63.0484,0.1947,-0.1936,8.21,0.03,-0.03,6.612,0.023,-0.023,8.03732,0.000247,-0.000247,5917231492323978880,257.5207045575969,-56.44982135034755,15.818769777592385,30.21292144289311,-124.13473815350764,8.048586,5573.9907,1.4331
HD 155193 b,HD 155193,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,352.65,2.58,-2.58,0.0,1.04,0.04,-0.04,0.0,14.0,,,0.0,1.25,,,0.0,238.37131,19.0697,-19.0697,0.0,0.75,0.06,-0.06,0.0,Msini,0.21,0.08,-0.08,0.0,,,,,,,,,0,F8 IV,6239.0,20.0,-20.0,0.0,1.76,0.07,-0.09,0.0,1.22,0.08,-0.08,0.0,0.05,0.01,-0.01,0.0,[Fe/H],4.26,0.04,-0.04,0.0,17h09m41.01s,257.4208876,+10d02m17.16s,10.0381003,57.7995,0.1224,-0.1219,7.0092,0.023,-0.023,5.715,0.024,-0.024,6.86686,0.000195,-0.000195,4443815297524544000,257.42087807531453,10.038081409874373,17.32911473146373,-67.43665804029762,-136.00781828398004,6.883484,6052.848,1.9234
HD 155358 b,HD 155358,1,2,Radial Velocity,2007,McDonald Observatory,0,194.3,0.3,-0.3,0.0,0.63,0.02,-0.02,0.0,13.8,,,0.0,1.23,,,0.0,314.6517,25.4264,-25.4264,0.0,0.99,0.08,-0.08,0.0,Msini,0.17,0.03,-0.03,0.0,,,,,,,,,0,G0,5905.0,13.0,-13.0,0.0,1.38,0.02,-0.02,0.0,1.15,0.08,-0.08,0.0,-0.6,,,0.0,[Fe/H],4.22,0.03,-0.03,0.0,17h09m34.34s,257.3930947,+33d21m17.74s,33.3549277,43.6197,0.0472,-0.0472,7.28,0.03,-0.03,5.808,0.018,-0.018,7.12074,0.000255,-0.000255,1334643739861016832,257.3930577717475,33.35489770720525,22.921150945133604,-222.21651545942305,-215.8652607019744,7.135941,5938.286,1.3542
HD 155358 c,HD 155358,1,2,Radial Velocity,2007,McDonald Observatory,0,391.9,1.0,-1.0,0.0,1.02,0.02,-0.02,0.0,13.9,,,0.0,1.24,,,0.0,261.0,22.0,-22.0,0.0,0.82,0.07,-0.07,0.0,Msini,0.16,0.1,-0.1,0.0,,,,,,,,,0,G0,5900.0,100.0,-100.0,0.0,1.38,0.02,-0.02,0.0,0.92,,,0.0,-0.51,0.06,-0.06,0.0,[Fe/H],4.16,0.12,-0.12,0.0,17h09m34.34s,257.3930947,+33d21m17.74s,33.3549277,43.6197,0.0472,-0.0472,7.28,0.03,-0.03,5.808,0.018,-0.018,7.12074,0.000255,-0.000255,1334643739861016832,257.3930577717475,33.35489770720525,22.921150945133604,-222.21651545942305,-215.8652607019744,7.135941,5938.286,1.3542
HD 155918 b,HD 155918,1,2,Radial Velocity,2022,Multiple Observatories,0,1.87567,4e-05,-4e-05,0.0,0.03,0.001,-0.001,0.0,2.67,,,0.0,0.239,,,0.0,7.62788,0.95349,-1.27131,0.0,0.024,0.003,-0.004,0.0,Msini,0.194,0.197,-0.129,0.0,,,,,,,,,0,G2V,5771.84,107.21,-104.37,0.0,1.02,0.04,-0.05,0.0,1.03,0.13,-0.13,0.0,-0.662,0.024,-0.024,0.0,[M/H],4.43,0.1,-0.05,0.0,17h22m08.74s,260.5364025,-75d20m57.26s,-75.349239,27.561,0.0227,-0.0226,7.0,0.03,-0.03,5.459,0.02,-0.02,6.8406,0.000191,-0.000191,5801950515627094400,260.53587630387005,-75.34927411841784,36.19573028114162,-957.8641936607318,-252.7885939387405,6.857967,5781.406,1.0295
HD 155918 c,HD 155918,1,2,Radial Velocity,2022,Multiple Observatories,0,17202.19446,2100.79072,-1950.03472,0.0,13.183,1.17,-1.179,0.0,12.8,,,0.0,1.14,,,0.0,1878.04806,207.54195,-243.45656,0.0,5.909,0.653,-0.766,0.0,Mass,0.071,0.051,-0.053,0.0,,,,,,,,,0,G2V,5771.84,107.21,-104.37,0.0,1.02,0.04,-0.05,0.0,1.03,0.13,-0.13,0.0,-0.662,0.024,-0.024,0.0,[M/H],4.43,0.1,-0.05,0.0,17h22m08.74s,260.5364025,-75d20m57.26s,-75.349239,27.561,0.0227,-0.0226,7.0,0.03,-0.03,5.459,0.02,-0.02,6.8406,0.000191,-0.000191,5801950515627094400,260.53587630387005,-75.34927411841784,36.19573028114162,-957.8641936607318,-252.7885939387405,6.857967,5781.406,1.0295
HD 156098 b,HD 156098,1,2,Radial Velocity,2022,Multiple Observatories,0,21.85849,0.01232,-0.00601,0.0,0.167,0.008,-0.009,0.0,4.12,,,0.0,0.368,,,0.0,15.89142,3.49611,-1.27131,0.0,0.05,0.011,-0.004,0.0,Msini,0.109,0.101,-0.048,0.0,,,,,,,,,0,,6419.19,139.97,-144.01,0.0,2.76,0.12,-0.14,0.0,1.29,0.2,-0.2,0.0,0.12,0.028,-0.028,0.0,[M/H],3.67,0.09,-0.09,0.0,17h17m03.52s,259.264687,-32d39m47.08s,-32.6630768,48.249,0.3786,-0.3729,5.53,0.03,-0.03,4.357,0.016,-0.016,5.41159,0.0027476,-0.0027476,5979460655025099776,259.2646708234889,-32.66308449301173,20.629789585677567,-98.54373382937165,-55.21481941992352,5.404375,6196.398,2.9669
HD 156098 c,HD 156098,1,2,Radial Velocity,2022,Multiple Observatories,0,7841.5839,247.41756,-516.56728,0.0,8.415,0.396,-0.629,0.0,12.8,,,0.0,1.14,,,0.0,1661.60691,615.95145,-409.04516,0.0,5.228,1.938,-1.287,0.0,Mass,0.391,0.04,-0.051,0.0,,,,,,,,,0,,6419.19,139.97,-144.01,0.0,2.76,0.12,-0.14,0.0,1.29,0.2,-0.2,0.0,0.12,0.028,-0.028,0.0,[M/H],3.67,0.09,-0.09,0.0,17h17m03.52s,259.264687,-32d39m47.08s,-32.6630768,48.249,0.3786,-0.3729,5.53,0.03,-0.03,4.357,0.016,-0.016,5.41159,0.0027476,-0.0027476,5979460655025099776,259.2646708234889,-32.66308449301173,20.629789585677567,-98.54373382937165,-55.21481941992352,5.404375,6196.398,2.9669
HD 156279 b,HD 156279,1,2,Radial Velocity,2011,Haute-Provence Observatory,0,133.40355,0.00417,-0.00405,0.0,0.502,0.02,-0.022,0.0,12.5,,,0.0,1.12,,,0.0,2997.75753,242.18525,-254.58055,0.0,9.432,0.762,-0.801,0.0,Msini,0.647,0.0008,-0.0007,0.0,,,,,,,,,0,G6,5453.0,40.0,-40.0,0.0,0.95,0.02,-0.02,0.0,0.94,0.12,-0.12,0.0,0.14,0.01,-0.01,0.0,[Fe/H],4.46,0.03,-0.03,0.0,17h12m23.20s,258.0966686,+63d21m10.02s,63.3527828,36.1945,0.0361,-0.0359,8.07,0.03,-0.03,6.269,0.023,-0.023,7.86569,0.000451,-0.000451,1631084478574318976,258.0966681156372,63.35280501779812,27.67559401081761,-1.878615150556588,160.42870960150654,7.8772635,5346.353,0.9719
HD 156279 c,HD 156279,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,4818.25358,44.45769,-43.09387,0.0,5.486,0.219,-0.24,0.0,12.5,,,0.0,1.11,,,0.0,3098.82697,419.21567,-192.28619,0.0,9.75,1.319,-0.605,0.0,Mass,0.261,0.006,-0.006,0.0,,,,,,,,,0,G6,5458.24,84.23,-84.23,0.0,0.97,0.02,-0.02,0.0,0.94,0.12,-0.12,0.0,0.192,0.058,-0.058,0.0,[Fe/H],4.45,0.03,-0.03,0.0,17h12m23.20s,258.0966686,+63d21m10.02s,63.3527828,36.1945,0.0361,-0.0359,8.07,0.03,-0.03,6.269,0.023,-0.023,7.86569,0.000451,-0.000451,1631084478574318976,258.0966681156372,63.35280501779812,27.67559401081761,-1.878615150556588,160.42870960150654,7.8772635,5346.353,0.9719
HD 156411 b,HD 156411,1,1,Radial Velocity,2009,La Silla Observatory,0,842.2,14.5,-14.5,0.0,1.88,0.03,-0.04,0.0,14.0,,,0.0,1.25,,,0.0,235.18,15.89,-12.71,0.0,0.74,0.05,-0.04,0.0,Msini,0.22,0.08,-0.08,0.0,,,,,,,,,0,F8 IV/V,5900.0,15.0,-15.0,0.0,2.16,0.09,-0.09,0.0,1.25,,,0.0,-0.12,0.01,-0.01,0.0,[Fe/H],4.07,0.04,-0.04,0.0,17h19m51.35s,259.9639522,-48d33m00.83s,-48.5502313,56.8655,0.1828,-0.1817,6.67,0.03,-0.03,5.17,0.021,-0.021,6.5121,0.00039,-0.00039,5950535424666050304,259.96394514037723,-48.550260774998,17.965626774116444,-33.44348913939645,-211.1768591157443,6.5275645,5805.5874,2.3689
HD 156668 b,HD 156668,1,2,Radial Velocity,2010,W. M. Keck Observatory,0,4.6455,0.0011,-0.0011,0.0,0.05,0.0007,-0.0007,0.0,1.87,,,0.0,0.167,,,0.0,4.15,0.58,-0.58,0.0,0.013,0.002,-0.002,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K2,4850.0,88.0,-88.0,0.0,0.72,0.01,-0.01,0.0,0.77,0.02,-0.02,0.0,0.05,0.06,-0.06,0.0,[Fe/H],4.6,0.12,-0.12,0.0,17h17m40.40s,259.4183491,+29d13m41.38s,29.228161,24.3323,0.0165,-0.0166,8.43,0.03,-0.03,6.004,0.02,-0.02,8.10753,0.000304,-0.000304,4575374857376398976,259.4183375743817,29.228191118343467,41.110309264586505,-72.48146285140987,216.848768159877,8.117674,4687.1484,0.8187
HD 156668 c,HD 156668,1,2,Radial Velocity,2021,Multiple Observatories,0,811.3,5.2,-5.3,0.0,1.57,0.017,-0.017,0.0,6.17,,,0.0,0.55,,,0.0,31.4968,2.51084,-2.44728,0.0,0.0991,0.0079,-0.0077,0.0,Msini,0.089,0.084,-0.061,0.0,,,,,,,,,0,K2,4903.69,59.64,-59.64,0.0,0.77,0.01,-0.01,0.0,0.79,0.02,-0.02,0.0,0.049,0.056,-0.056,0.0,[Fe/H],4.55,0.02,-0.02,0.0,17h17m40.40s,259.4183491,+29d13m41.38s,29.228161,24.3323,0.0165,-0.0166,8.43,0.03,-0.03,6.004,0.02,-0.02,8.10753,0.000304,-0.000304,4575374857376398976,259.4183375743817,29.228191118343467,41.110309264586505,-72.48146285140987,216.848768159877,8.117674,4687.1484,0.8187
